iso,year,c_exp_
616,1995,12443.23
616,2000,15825.66
616,2005,18982.6
616,2010,21911.15
616,2015,23373.69
620,1970,1606.912
620,1975,2820.136
620,1980,3620.28
620,1985,4264.453
620,1990,6810.494
620,1995,8758.149
620,2000,10807.54
620,2005,10907.86
620,2010,10858.61
620,2015,10220.68
624,1970,924.6931
624,1975,914.3916
624,1980,317.1434
624,1985,129.3977
624,1990,236.9456
624,1995,39.40844
624,2000,303.803
624,2005,351.1723
624,2010,21.21025
624,2015,581.1589
626,1970,1017.434
626,1975,1066.833
626,1980,1630.338
626,1985,2104.426
626,1990,2825.494
626,1995,3461.357
626,2000,5579.15
626,2005,63.49498
626,2010,55.72731
626,2015,120.8552
630,1970,2482.814
630,1975,2738.811
630,1980,811.1677
630,1985,145.4076
630,1990,465.8983
630,1995,408.9265
630,2000,616.1426
630,2005,1232.287
630,2010,6794.727
630,2015,174.4503
634,1970,3309.508
634,1975,2321.514
634,1980,4173.942
634,1985,3436.749
634,1990,4813.628
