"iso","year","qamys_dhs_full","qamys_dhs_part"
470,1980,NA,NA
470,1985,NA,NA
470,1990,NA,NA
470,1995,NA,NA
470,2000,NA,NA
470,2005,NA,NA
470,2010,NA,NA
470,2015,NA,NA
474,1970,NA,NA
474,1975,NA,NA
474,1980,NA,NA
474,1985,NA,NA
474,1990,NA,NA
474,1995,NA,NA
474,2000,NA,NA
474,2005,NA,NA
474,2010,NA,NA
474,2015,NA,NA
478,2015,NA,NA
480,1970,NA,NA
480,1975,NA,NA
480,1980,NA,NA
480,1985,NA,NA
480,1990,NA,NA
480,1995,NA,NA
480,2000,NA,NA
480,2005,NA,NA
480,2010,NA,NA
480,2015,NA,NA
175,2015,NA,NA
484,1970,NA,NA
484,1975,NA,NA
484,1980,NA,NA
484,1985,NA,NA
484,1990,NA,NA
484,1995,NA,NA
484,2000,NA,NA
484,2005,NA,NA
484,2010,NA,NA
484,2015,NA,NA
583,1970,NA,NA
583,1975,NA,NA
583,1980,NA,NA
583,1985,NA,NA
583,1990,NA,NA
583,1995,NA,NA
583,2000,NA,NA
583,2005,NA,NA
583,2010,NA,NA
583,2015,NA,NA
496,1970,NA,NA
496,1975,NA,NA
496,1980,NA,NA
496,1985,NA,NA
496,1990,NA,NA
496,1995,NA,NA
496,2000,NA,NA
496,2005,NA,NA
496,2010,NA,NA
496,2015,NA,NA
499,1970,NA,NA
499,1975,NA,NA
499,1980,NA,NA
499,1985,NA,NA
499,1990,NA,NA
499,1995,NA,NA
499,2000,NA,NA
499,2005,NA,NA
499,2010,NA,NA
499,2015,NA,NA
504,1970,NA,NA
504,1975,NA,NA
504,1980,NA,NA
504,1985,NA,NA
504,1990,NA,NA
504,1995,NA,NA
504,2000,NA,NA
504,2005,2.046690844,1.848493508
504,2010,NA,NA
504,2015,NA,NA
508,1970,NA,NA
508,1975,NA,NA
508,1980,NA,NA
508,1985,NA,NA
508,1990,NA,NA
508,1995,NA,NA
508,2000,NA,NA
508,2005,0.940876909,0.81687693325
508,2010,1.2657670109,1.0589344923
508,2015,1.496238195,1.11995651081
104,1970,NA,NA
104,1975,NA,NA
104,1980,NA,NA
104,1985,NA,NA
104,1990,NA,NA
104,1995,NA,NA
104,2000,NA,NA
104,2005,NA,NA
104,2010,NA,NA
104,2015,5.6538969318,5.13679723356
516,1970,NA,NA
516,1975,NA,NA
516,1980,NA,NA
516,1985,NA,NA
516,1990,NA,NA
516,1995,NA,NA
516,2000,5.92695535607,5.37091433297
516,2005,6.7635085601,6.1159221973
516,2010,NA,NA
516,2015,7.84126573587,7.29148975572
524,1970,NA,NA
524,1975,NA,NA
524,1980,NA,NA
524,1985,NA,NA
524,1990,NA,NA
524,1995,NA,NA
524,2000,1.7272463232,1.4896646432
524,2005,2.66745461864,2.34719454256
524,2010,3.65785740425,3.32919001775
524,2015,4.45989934552,3.96210601902
528,1970,NA,NA
528,1975,NA,NA
528,1980,NA,NA
528,1985,NA,NA
528,1990,NA,NA
528,1995,NA,NA
528,2000,NA,NA
528,2005,NA,NA
528,2010,NA,NA
528,2015,NA,NA
540,1970,NA,NA
540,1975,NA,NA
540,1980,NA,NA
540,1985,NA,NA
540,1990,NA,NA
540,1995,NA,NA
540,2000,NA,NA
540,2005,NA,NA
540,2010,NA,NA
